customerID,Sum of tenure,PaymentMethod,Sum of MonthlyCharges
0148-DCDOS,25,Bank transfer (automatic),94.7
0151-ONTOV,1,Mailed check,70.9
0156-FVPTA,22,Electronic check,54.2
0164-APGRB,72,Electronic check,114.9
0164-XAIRP,24,Bank transfer (automatic),19.55
0168-XZKBB,19,Electronic check,86.85
0174-QRVVY,71,Credit card (automatic),25.35
0177-PXBAT,33,Bank transfer (automatic),109.9
0178-CIIKR,3,Mailed check,19.95
0178-SZBHO,47,Electronic check,87.2
0181-RITDD,62,Mailed check,108.15
0186-CAERR,71,Bank transfer (automatic),116.3
0187-QSXOE,7,Electronic check,89
0187-WZNAB,27,Mailed check,74.4
0188-GWFLE,2,Mailed check,20.05
0191-EQUUH,25,Bank transfer (automatic),35.05
0191-ZHSKZ,30,Electronic check,74.75
0193-ESZXP,58,Credit card (automatic),105.5
0195-IESCP,10,Electronic check,85.25
0196-JTUQI,9,Credit card (automatic),75.2
0196-VULGZ,6,Electronic check,84.35
0197-PNKNK,69,Bank transfer (automatic),84.45
0201-MIBOL,66,Bank transfer (automatic),102.4
0201-OAMXR,70,Credit card (automatic),115.55
0203-HHYIJ,25,Bank transfer (automatic),25.3
0206-OYVOC,46,Mailed check,19.25
0206-TBWLC,54,Mailed check,114.65
0207-MDKNV,15,Electronic check,105.1
0208-BPQEJ,12,Bank transfer (automatic),19.4
0212-ISBBF,22,Electronic check,50.35
0214-JHPFW,70,Bank transfer (automatic),57.8
0215-BQKGS,30,Credit card (automatic),84.3
0218-QNVAS,71,Bank transfer (automatic),100.55
0219-QAERP,30,Credit card (automatic),19.8
0219-YTZUE,4,Bank transfer (automatic),84.8
0220-EBGCE,2,Electronic check,85.85
0221-NAUXK,10,Bank transfer (automatic),19.95
0221-WMXNQ,4,Electronic check,75.35
0222-CNVPT,52,Credit card (automatic),48.8
0224-HJAPT,5,Electronic check,47.15
0224-NIJLP,8,Mailed check,20.15
0224-RLWWD,2,Electronic check,44.3
0225-ZORZP,3,Electronic check,84.3
0228-MAUWC,19,Electronic check,59.55
0229-LFJAF,72,Bank transfer (automatic),69.65
0230-UBYPQ,63,Bank transfer (automatic),36.1
0230-WEQUW,66,Bank transfer (automatic),56.6
0231-LXVAP,1,Electronic check,75.9
0233-FTHAV,60,Bank transfer (automatic),79.2
0234-TEVTT,48,Credit card (automatic),45
0235-KGSLC,1,Credit card (automatic),85.55
0236-HFWSV,15,Electronic check,93.35
0237-YFUTL,50,Bank transfer (automatic),109.65
0238-WHBIQ,72,Credit card (automatic),89.7
0239-OXEXL,46,Mailed check,84.25
0244-LGNFY,72,Bank transfer (automatic),92.65
0247-SLUJI,1,Mailed check,19.7
0248-IPDFW,1,Electronic check,50.1
0248-PGHBZ,67,Bank transfer (automatic),92.45
0253-ZTEOB,48,Electronic check,79.65
0254-FNMCI,72,Electronic check,109.9
0254-KCJGT,52,Credit card (automatic),81.4
0254-WWRKD,67,Credit card (automatic),50.55
0256-LTHVJ,28,Electronic check,81.05
0257-KXZGU,32,Bank transfer (automatic),62.45
0257-ZESQC,27,Bank transfer (automatic),75.2
0258-NOKBL,3,Electronic check,90.4
0259-GBZSH,2,Electronic check,85.65
0260-ZDLGK,9,Mailed check,72.9
0263-FJTQO,50,Credit card (automatic),70.5
0264-CNITK,71,Bank transfer (automatic),20.1
0265-EDXBD,32,Electronic check,74.9
0265-PSUAE,16,Bank transfer (automatic),100.7
0266-CLZKZ,67,Bank transfer (automatic),105.65
0266-GMEAO,72,Credit card (automatic),114.3
0268-QKIWO,3,Electronic check,19.75
0269-XFESX,23,Mailed check,24.35
0270-THENM,72,Bank transfer (automatic),69.85
0274-JKUJR,7,Mailed check,58.85
0277-BKSQP,8,Electronic check,54.4
0277-ORXQS,66,Bank transfer (automatic),50.55
0278-YXOOG,5,Mailed check,21.05
0280-XJGEX,49,Bank transfer (automatic),103.7
0281-CNTZX,63,Bank transfer (automatic),19.95
0282-NVSJS,12,Mailed check,29.3
0285-INHLN,27,Credit card (automatic),54.75
0289-IVARM,35,Electronic check,60.55
0292-WEGCH,54,Electronic check,86.2
0295-PPHDO,1,Electronic check,95.45
0295-QVKPB,5,Credit card (automatic),63.95
0297-RBCSG,19,Bank transfer (automatic),65.35
0298-XACET,52,Mailed check,50.2
0301-FIDRB,72,Bank transfer (automatic),63.8
0301-KOBTQ,32,Bank transfer (automatic),20.05
0302-JOIVN,8,Electronic check,101.15
0303-UNCIP,41,Mailed check,65
0303-WMMRN,5,Mailed check,19.25
0305-SQECB,11,Mailed check,36.05
0306-JAELE,5,Electronic check,96.1
0307-BCOPK,16,Mailed check,19.05
0308-GIQJT,71,Bank transfer (automatic),105.75
0308-IVGOK,11,Credit card (automatic),40.4
0310-MVLET,61,Electronic check,99.15
0310-SUCIN,71,Bank transfer (automatic),84.8
0310-VQXAM,9,Mailed check,19.85
0311-QYWSS,6,Electronic check,49.45
0311-UNPFF,26,Bank transfer (automatic),88.8
0314-TKOSI,6,Mailed check,55.15
0315-LVCRK,11,Electronic check,84.8
0318-QUUOB,1,Electronic check,80.55
0318-ZOPWS,49,Bank transfer (automatic),20.15
0319-QZTCO,3,Credit card (automatic),58.7
0320-DWVTU,53,Mailed check,99.5
0320-JDNQG,23,Electronic check,99.85
0322-CHQRU,2,Electronic check,45.35
0322-YINQP,1,Mailed check,48.55
0323-XWWTN,3,Mailed check,26.4
0324-BRPCJ,68,Electronic check,100.2
0325-XBFAC,8,Electronic check,94.7
0326-VDYXE,70,Electronic check,97.65
0327-WFZSY,39,Electronic check,100
0328-GRPMV,1,Electronic check,70.1
0329-GTIAJ,3,Electronic check,97.9
0330-BGYZE,60,Bank transfer (automatic),102.5
0330-IVZHA,5,Electronic check,69.95
0334-GDDSO,3,Electronic check,81.35
0334-ZFJSR,55,Credit card (automatic),66.05
0336-KXKFK,72,Credit card (automatic),61.2
0336-PIKEI,72,Bank transfer (automatic),74.4
0337-CNPZE,41,Electronic check,106.3
0343-QLUZP,60,Bank transfer (automatic),39.6
0345-HKJVM,6,Electronic check,89.3
0345-XMMUG,46,Credit card (automatic),108.9
0347-UBKUZ,15,Mailed check,19.9
0348-SDKOL,58,Credit card (automatic),102.1
0354-VXMJC,23,Credit card (automatic),19.6
0354-WYROK,31,Electronic check,98.9
0356-ERHVT,11,Bank transfer (automatic),45.9
0356-OBMAC,56,Bank transfer (automatic),99.9
0357-NVCRI,25,Credit card (automatic),20.05
0361-HJRDX,68,Credit card (automatic),64.35
0362-RAOQO,40,Credit card (automatic),19.65
0362-ZBZWJ,36,Electronic check,84.9
0363-QJVFX,32,Credit card (automatic),108.15
0363-SVHYR,71,Bank transfer (automatic),86.85
0365-BZUWY,17,Electronic check,102.55
0365-GXEZS,18,Electronic check,78.2
0365-TRTPY,37,Bank transfer (automatic),91.2
0366-NQSHS,2,Mailed check,19.35
0369-ZGOVK,28,Bank transfer (automatic),70.4
0373-AIVNJ,9,Mailed check,39.55
0374-AACSZ,1,Electronic check,50.15
0374-FIUCA,65,Credit card (automatic),20.4
0374-IOEGQ,3,Electronic check,44.6
0375-HVGXO,1,Electronic check,34.7
0376-OIWME,36,Electronic check,93.6
0376-YMCJC,23,Electronic check,90.6
0377-JBKKT,22,Mailed check,57.95
0378-CJKPV,72,Credit card (automatic),112.1
0378-NHQXU,17,Electronic check,88.25
0378-TOVMS,3,Electronic check,85.8
0378-XSZPU,58,Credit card (automatic),60.3
0379-DJQHR,67,Credit card (automatic),81.35
0380-NEAVX,34,Electronic check,99.85
0380-ZCSBI,10,Credit card (automatic),20
0383-CLDDA,69,Credit card (automatic),85.35
0384-LPITE,40,Credit card (automatic),62.05
0384-RVBPI,20,Credit card (automatic),64.4
0386-CWRGM,46,Mailed check,19.4
0388-EOPEX,2,Electronic check,74.4
0390-DCFDQ,1,Mailed check,70.45
0392-BZIUW,72,Credit card (automatic),105
0394-YONDK,70,Credit card (automatic),25.15
0396-HUJBP,2,Mailed check,19.3
0396-UKGAI,23,Bank transfer (automatic),55.3
0396-YCHWO,36,Electronic check,95.4
0397-GZBBC,59,Bank transfer (automatic),93.85
0397-ZXWQF,67,Bank transfer (automatic),20.5
0401-WDBXM,72,Bank transfer (automatic),105.55
0402-CQAJN,37,Bank transfer (automatic),101.9
0402-OAMEN,72,Bank transfer (automatic),24.45
0404-AHASP,72,Credit card (automatic),19.7
0404-SWRVG,3,Electronic check,74.4
0406-BPDVR,54,Credit card (automatic),101.5
0407-BDJKB,60,Electronic check,95.75
0409-WTMPL,58,Credit card (automatic),110.65
0410-IPFTY,31,Bank transfer (automatic),83.85
0411-EZJZE,3,Electronic check,60.25
0412-UCCNP,55,Electronic check,59.2
0415-MOSGF,1,Mailed check,44.4
0419-YAAPX,49,Credit card (automatic),85.3
0420-BWTPW,8,Mailed check,25.5
0420-HLGXF,39,Electronic check,99.75
0420-TXVSG,66,Credit card (automatic),66.1
0422-OHQHQ,15,Mailed check,20.55
0422-UXFAP,51,Electronic check,98.85
0423-UDIJQ,9,Mailed check,49.2
0426-TIRNE,1,Mailed check,20.9
0428-AXXLJ,25,Bank transfer (automatic),19.5
0428-IKYCP,22,Bank transfer (automatic),87
0430-IHCDJ,15,Electronic check,49
0431-APWVY,28,Bank transfer (automatic),90.1
0432-CAJZV,3,Mailed check,90.7
0434-CSFON,47,Electronic check,100.5
0436-TWFFZ,67,Mailed check,85.25
0439-IFYUN,18,Electronic check,74.7
0440-EKDCF,62,Credit card (automatic),60.15
0440-MOGPM,41,Electronic check,80.55
0440-QEXBZ,44,Mailed check,50.15
0440-UEDAI,53,Credit card (automatic),94.45
0442-TDYUO,48,Mailed check,20.05
0442-ZXKVS,54,Bank transfer (automatic),115.6
0447-BEMNG,48,Bank transfer (automatic),45.3
0447-RXSGD,24,Bank transfer (automatic),99.65
0454-OKRCT,33,Bank transfer (automatic),80.6
0455-ENTCR,66,Electronic check,85.25
0455-XFASS,3,Electronic check,69.55
0458-HEUZG,13,Mailed check,35.4
0459-SPZHJ,63,Credit card (automatic),83.5
0461-CVKMU,23,Electronic check,83.8
0463-TXOAK,52,Credit card (automatic),25.6
0463-WZZKO,3,Credit card (automatic),20.75
0463-ZSDNT,10,Bank transfer (automatic),56.75
0464-WJTKO,72,Bank transfer (automatic),20.1
0468-YRPXN,29,Credit card (automatic),98.8
0471-ARVMX,62,Electronic check,104.85
0471-LVHGK,41,Electronic check,73
0475-RIJEP,43,Electronic check,77.85
0479-HMSWA,26,Electronic check,105.45
0480-BIXDE,19,Electronic check,96.8
0480-KYJVA,72,Credit card (automatic),24.25
0481-SUMCB,45,Bank transfer (automatic),102.15
0484-FFVBJ,32,Bank transfer (automatic),64.85
0484-JPBRU,41,Bank transfer (automatic),25.25
0485-ZBSLN,65,Credit card (automatic),24.75
0486-HECZI,55,Electronic check,96.75
0486-LGCCH,11,Mailed check,19.65
0487-CRLZF,49,Bank transfer (automatic),74.45
0487-RPVUM,61,Bank transfer (automatic),99.4
0487-VVUVK,25,Mailed check,19.15
0488-GSLFR,1,Electronic check,69.5
0489-WMEMG,23,Electronic check,49.45
0491-KAPQG,21,Electronic check,73.7
0495-RVCBF,1,Electronic check,79.7
0495-ZBNGW,5,Bank transfer (automatic),79.9
0496-AHOOK,24,Bank transfer (automatic),74.4
0504-HHAPI,27,Credit card (automatic),88.3
0505-SPOOW,70,Bank transfer (automatic),19.8
0506-LVNGN,5,Credit card (automatic),75.55
0506-YLVKJ,46,Mailed check,20.2
0508-OOLTO,2,Electronic check,71.65
0508-SQWPL,57,Bank transfer (automatic),20.1
0511-JTEOY,1,Mailed check,71.1
0512-FLFDW,60,Credit card (automatic),100.5
0513-RBGPE,37,Credit card (automatic),62.8
0515-YPMCW,1,Mailed check,70.45
0516-OOHAR,28,Bank transfer (automatic),100.35
0516-QREYC,24,Mailed check,20.3
0516-UXRMT,62,Electronic check,92.05
0516-VRYBW,18,Bank transfer (automatic),20.15
0516-WJVXC,5,Electronic check,54.2
0519-DRGTI,20,Mailed check,20.35
0519-XUZJU,1,Mailed check,70.75
0520-FDVVT,35,Bank transfer (automatic),102.35
0523-VNGTF,52,Electronic check,50.5
0524-IAVZO,30,Electronic check,85
0526-SXDJP,72,Bank transfer (automatic),42.1
0529-ONKER,15,Electronic check,75.65
0530-IJVDB,70,Electronic check,114.6
0531-XBKMM,66,Bank transfer (automatic),65.7
0531-ZZJWQ,55,Electronic check,74
0533-BNWKF,55,Electronic check,85.45
0533-UCAAU,57,Credit card (automatic),71.1
0536-ACXIP,72,Electronic check,109.55
0536-BGFMZ,28,Mailed check,20.5
0536-ESJEP,54,Bank transfer (automatic),74.55
0537-QYZZN,24,Electronic check,79.85
0541-FITGH,2,Mailed check,62.15
0547-HURJB,12,Credit card (automatic),21.05
0549-CYCQN,51,Bank transfer (automatic),79.6
0550-DCXLH,13,Mailed check,73.35
0556-FJEGU,58,Bank transfer (automatic),70.1
0557-ASKVU,18,Credit card (automatic),54.4
0559-CKHUS,29,Mailed check,19.55
0562-FGDCR,72,Mailed check,74.55
0562-HKHML,71,Credit card (automatic),23.9
0562-KBDVM,70,Bank transfer (automatic),44.6
0564-JJHGS,9,Electronic check,95.5
0564-MUUQK,20,Bank transfer (automatic),95.5
0565-IYCGT,69,Credit card (automatic),78.6
0565-JUPYD,63,Credit card (automatic),104.5
0567-GGCAC,7,Electronic check,61.4
0567-XRHCU,69,Credit card (automatic),43.95
0568-ONFPC,5,Bank transfer (automatic),25.9
0570-BFQHT,9,Electronic check,80.55
0572-ZJKLT,46,Mailed check,99.65
0575-CUQOV,60,Electronic check,97.95
0576-WNXXC,27,Electronic check,95.55
0577-WHMEV,16,Electronic check,90.7
0578-SKVMF,22,Electronic check,83.3
0580-PIQHM,41,Bank transfer (automatic),101.6
0581-BXBUB,4,Electronic check,72.75
0581-MDMPW,24,Credit card (automatic),88.95
0582-AVCLN,38,Mailed check,20.3
0584-BJQGZ,25,Bank transfer (automatic),78.35
0585-EGDDA,40,Electronic check,80
0587-DMGBH,8,Electronic check,49.85
0594-UFTUL,13,Mailed check,19.85
0595-ITUDF,64,Electronic check,91.8
0596-BQCEQ,62,Electronic check,100.15
0599-XNYDO,20,Bank transfer (automatic),69.8
0601-WZHJF,14,Electronic check,46.35
0602-DDUML,57,Mailed check,69.75
0603-OLQDC,12,Mailed check,69.85
0603-TPMIB,59,Mailed check,25.45
0604-THJFP,59,Credit card (automatic),75.95
0607-DAAHE,53,Bank transfer (automatic),19.75
0607-MVMGC,45,Credit card (automatic),78.75
0608-JDVEC,50,Electronic check,19.8
0611-DFXKO,20,Mailed check,89
0612-RTZZA,1,Electronic check,25.25
0613-WUXUM,70,Mailed check,19.2
0616-ATFGB,1,Electronic check,25.05
0617-AQNWT,64,Electronic check,47.85
0617-FHSGK,49,Credit card (automatic),75.2
0618-XWMSS,28,Bank transfer (automatic),74.9
0619-OLYUR,72,Credit card (automatic),111.9
0620-DLSLK,13,Mailed check,81.9
0620-XEFWH,4,Mailed check,18.85
0621-CXBKL,53,Mailed check,18.7
0621-HJWXJ,63,Bank transfer (automatic),81.55
0621-JFHOL,10,Mailed check,29.6
0621-TSSMU,56,Credit card (automatic),19.95
0621-TWIEM,10,Electronic check,45.55
0623-EJQEG,65,Electronic check,93.55
0623-GDISB,1,Bank transfer (automatic),48.45
0623-IIHUG,21,Electronic check,41.9
0625-AFOHS,29,Mailed check,20.2
0626-QXNGV,72,Credit card (automatic),24.15
0628-CNQRM,22,Bank transfer (automatic),67.5
0634-SZPQA,23,Bank transfer (automatic),90.05
0635-WKOLD,40,Credit card (automatic),70.75
0637-KVDLV,2,Electronic check,76.5
0637-UBJRP,13,Electronic check,84.05
0637-YLETY,16,Credit card (automatic),95.6
0639-TSIQW,67,Credit card (automatic),102.95
0640-YJTPY,72,Bank transfer (automatic),21
0641-EVBOJ,3,Mailed check,82.3
0643-OKLRP,47,Electronic check,80.35
0644-OQMDK,4,Electronic check,70.65
0650-BWOZN,18,Electronic check,73.55
0654-HMSHN,21,Electronic check,104.4
0654-PQKDW,62,Bank transfer (automatic),70.75
0655-RBDUG,7,Bank transfer (automatic),98.05
0655-YDGFJ,29,Bank transfer (automatic),48.95
0657-DOGUM,48,Bank transfer (automatic),60.6
0661-KBKPA,53,Mailed check,78.75
0661-KQHNK,6,Credit card (automatic),19
0661-WCQNQ,22,Credit card (automatic),56.25
0661-XEYAN,1,Mailed check,25.8
0665-XHDJU,72,Electronic check,99.4
0666-UXTJO,34,Credit card (automatic),85.2
0667-NSRGI,48,Mailed check,69.55
0668-OGMHD,21,Electronic check,28.5
0670-ANMUU,71,Credit card (automatic),97.65
0670-KDOMA,1,Mailed check,20.25
0673-IGUQO,1,Mailed check,20.45
0674-DGMAQ,32,Electronic check,93.5
0674-EYYZV,1,Electronic check,54.65
0674-GCDXG,63,Bank transfer (automatic),71.9
0675-NCDYU,72,Credit card (automatic),116.4
0678-RLHVP,53,Electronic check,105.55
0679-IDSTG,1,Electronic check,69.25
0679-TDGAK,50,Electronic check,75.5
0680-DFNNY,15,Electronic check,101.1
0682-USIXD,21,Electronic check,86.05
0684-AOSIH,1,Electronic check,95
0685-MLYYM,2,Electronic check,70.75
0687-ZVTHB,65,Credit card (automatic),72.45
0689-DSXGL,52,Bank transfer (automatic),85.8
0689-NKYLF,13,Electronic check,83.2
0690-SRQID,4,Mailed check,19.65
0691-IFBQW,46,Electronic check,110
0691-JVSYA,53,Bank transfer (automatic),94.85
0691-NIKRI,40,Credit card (automatic),105.95
0696-UKTOX,23,Electronic check,54.15
0697-ZMSWS,4,Electronic check,85.65
0699-NDKJM,57,Bank transfer (automatic),58.75
0701-RFGFI,49,Bank transfer (automatic),95.4
0701-TJSEF,9,Bank transfer (automatic),68.25
0702-PGIBZ,4,Electronic check,101.7
0704-VCUMB,61,Credit card (automatic),20.25
0707-HOVVN,70,Bank transfer (automatic),75.5
0708-LGSMF,13,Electronic check,65.85
0708-SJDIS,34,Mailed check,65
0709-TVGUR,9,Electronic check,74.55
0716-BQNDX,57,Electronic check,93.75
0719-SYFRB,12,Mailed check,61.65
0722-SVSFK,7,Electronic check,100.4
0722-TROQR,4,Electronic check,74.9
0723-DRCLG,1,Electronic check,74.45
0723-FDLAY,44,Bank transfer (automatic),85.25
0723-VSOBE,45,Electronic check,34.2
0725-CXOTM,36,Credit card (automatic),89.65
0727-BMPLR,55,Electronic check,100
0727-BNRLG,69,Credit card (automatic),97.65
0727-IWKVK,9,Electronic check,79.9
0730-BGQGF,71,Credit card (automatic),90.3
0730-KOAVE,30,Credit card (automatic),94.3
0731-EBJQB,52,Electronic check,20.4
0732-OCQOC,52,Bank transfer (automatic),25.05
0733-VUNUW,24,Bank transfer (automatic),55.65
0734-OXWBT,3,Mailed check,70.7
0739-UUAJR,72,Credit card (automatic),53.8
0742-LAFQK,72,Electronic check,99.15
0742-MOABM,4,Mailed check,50.05
0742-NXBGR,1,Electronic check,82.3
0743-HNPFG,51,Credit card (automatic),69.75
0743-HRVFF,51,Electronic check,56.15
0744-BIKKF,72,Bank transfer (automatic),86.65
0744-GKNGE,64,Bank transfer (automatic),86.8
0746-JTRFU,2,Electronic check,25.05
0748-RDGGM,70,Bank transfer (automatic),109.5
0749-IRGQE,13,Electronic check,45.3
0750-EBAIU,52,Electronic check,91.25
0750-EKNGL,7,Mailed check,20.75
0754-EEBDC,4,Mailed check,19.9
0754-UKWQP,2,Electronic check,95.85
0756-MPZRL,46,Credit card (automatic),33.7
0757-WCUUZ,54,Credit card (automatic),63.35
0761-AETCS,1,Electronic check,19.3
0769-MURVM,72,Bank transfer (automatic),65.7
0771-CHWSK,66,Credit card (automatic),74.6
0771-WLCLA,16,Electronic check,112.95
0772-GYEQQ,3,Mailed check,88.35
0774-IFUVM,11,Bank transfer (automatic),65.15
0774-RMNUW,71,Bank transfer (automatic),59.7
0778-NELLA,9,Credit card (automatic),34.7
0780-XNZFN,57,Bank transfer (automatic),20.65
0781-LKXBR,9,Electronic check,100.5
0784-GTUUK,62,Credit card (automatic),23.75
0784-ZQJZX,72,Credit card (automatic),19.9
0786-IVLAW,66,Bank transfer (automatic),108.1
0786-VSSUD,16,Mailed check,39
0787-LHDYT,16,Credit card (automatic),20.6
0788-DXBFY,58,Electronic check,19.55
0793-TWELN,4,Electronic check,80.15
0794-YVSGE,72,Bank transfer (automatic),20.3
0795-GMVQO,67,Credit card (automatic),109.9
0795-LAFGP,71,Electronic check,90.4
0795-XCCTE,72,Bank transfer (automatic),25.4
0799-DDIHE,15,Electronic check,46.3
0804-XBFBV,11,Electronic check,25.2
0804-YGEQV,43,Bank transfer (automatic),24.45
0807-ZABDG,3,Mailed check,55.1
0810-BDHAW,24,Electronic check,78.4
0810-DHDBD,52,Credit card (automatic),74
0811-GSDTP,13,Electronic check,30.15
0812-WUPTB,1,Mailed check,70.85
0813-TAXXS,55,Bank transfer (automatic),77.8
0815-MFZGM,42,Credit card (automatic),99
0816-TSPHQ,2,Mailed check,20.75
0817-HSUSE,1,Electronic check,75.5
0818-OCPZO,27,Electronic check,81.45
0820-FNRNX,17,Mailed check,66.7
0822-GAVAP,2,Electronic check,34.7
0822-QGCXA,27,Electronic check,83.85
0823-HSCDJ,52,Electronic check,49.15
0824-VWDPO,45,Bank transfer (automatic),96.75
0825-CPPQH,71,Credit card (automatic),19.1
0827-ITJPH,36,Credit card (automatic),18.55
0829-DDVLK,15,Credit card (automatic),20.1
0829-XXPLX,20,Bank transfer (automatic),89.4
0831-JNISG,71,Mailed check,19.8
0835-DUUIQ,24,Bank transfer (automatic),21.05
0835-JKADZ,71,Electronic check,111.25
0836-SEYLU,9,Mailed check,40.65
0839-JTCUD,66,Credit card (automatic),89.9
0839-QNXME,30,Credit card (automatic),19.4
0840-DCNZE,47,Bank transfer (automatic),86.95
0840-DFEZH,7,Electronic check,75.35
0841-NULXI,1,Electronic check,35.55
0842-IWYCP,46,Bank transfer (automatic),44.95
0843-WTBXE,53,Bank transfer (automatic),85.45
0847-HGRML,62,Bank transfer (automatic),20
0848-SOMKO,70,Bank transfer (automatic),48.4
0848-ZGQIJ,16,Bank transfer (automatic),94.65
0851-DFJKB,15,Electronic check,58.95
0853-NWIFK,45,Electronic check,100.3
0853-TWRVK,72,Bank transfer (automatic),105.6
0854-UYHZD,13,Mailed check,19.55
0856-NAOES,6,Mailed check,60.9
0859-YGKFW,18,Bank transfer (automatic),20.05
0862-PRCBS,68,Credit card (automatic),103.75
0864-FVJNJ,64,Electronic check,113.35
0866-QLSIR,34,Mailed check,64.4
0867-LDTTC,5,Bank transfer (automatic),75.15
0867-MKZVY,20,Electronic check,82.4
0868-VJRDR,64,Credit card (automatic),104.05
0869-PAPRP,26,Credit card (automatic),85.7
0870-VEMYL,5,Credit card (automatic),53.85
0871-OPBXW,2,Mailed check,20.05
0871-URUWO,13,Credit card (automatic),102.25
0872-CASZJ,59,Mailed check,69.1
0872-JCPIB,17,Bank transfer (automatic),65.75
0872-NXJYS,9,Electronic check,79.55
0875-CABNR,10,Credit card (automatic),84.6
0876-WDUUZ,5,Credit card (automatic),85.4
0877-SDMBN,54,Bank transfer (automatic),103.95
0880-FVFWF,56,Electronic check,86.4
0880-TKATG,4,Electronic check,101.15
0883-EIBTI,2,Mailed check,19.5
0885-HMGPY,62,Bank transfer (automatic),69.4
0886-QGENL,27,Electronic check,101.25
0887-HJGAR,1,Mailed check,45.7
0887-WBJVH,53,Electronic check,93.45
0895-DQHEW,54,Electronic check,104.3
0895-LMRSF,23,Bank transfer (automatic),64.9
0895-LNKRC,6,Mailed check,19.45
